# x_m,y_m,w_tr_right_m,w_tr_left_m
7.8627,-6.0920,1.0135,1.0135
7.9436,-6.1729,0.9874,0.9874
8.0245,-6.1729,0.9874,0.9874
8.1053,-6.2538,1.0135,1.0135
8.1862,-6.3347,1.0135,1.0135
8.2671,-6.4155,0.9874,0.9874
8.3480,-6.4155,0.9874,0.9874
8.4289,-6.4964,1.0135,1.0135
8.5098,-6.5773,1.0135,1.0135
8.5907,-6.6582,0.9874,0.9874
8.6716,-6.6582,0.9874,0.9874
8.7525,-6.7391,1.0135,1.0135
8.8334,-6.8200,1.0296,1.0296
8.9142,-6.9009,1.0135,1.0135
8.9951,-6.9818,0.9874,0.9874
9.0760,-6.9818,1.0135,1.0135
9.1569,-7.0627,1.0296,1.0296
9.2378,-7.1436,1.0135,1.0135
9.3187,-7.2244,0.9874,0.9874
9.3996,-7.2244,1.0135,1.0135
9.4805,-7.3053,1.0296,1.0296
9.5614,-7.3862,1.0135,1.0135
9.6423,-7.4671,0.9874,0.9874
9.7231,-7.4671,0.9874,0.9874
9.8040,-7.5480,1.0135,1.0135
9.8849,-7.6289,1.0135,1.0135
9.9658,-7.7098,0.9874,0.9874
10.0467,-7.7098,0.9874,0.9874
10.1276,-7.7907,1.0135,1.0135
10.2085,-7.8716,1.0296,1.0296
10.2894,-7.9525,1.0135,1.0135
10.3703,-8.0333,0.9874,0.9874
10.4512,-8.0333,1.0135,1.0135
10.5320,-8.1142,1.0296,1.0296
10.6129,-8.1951,1.0135,1.0135
10.6938,-8.2760,0.9874,0.9874
10.7747,-8.2760,1.0135,1.0135
10.8556,-8.3569,1.0296,1.0296
10.9365,-8.4378,1.0135,1.0135
11.0174,-8.5187,0.9874,0.9874
11.0983,-8.5187,0.9874,0.9874
11.1792,-8.5996,1.0135,1.0135
11.2601,-8.6805,1.0135,1.0135
11.3409,-8.7614,0.9874,0.9874
11.4218,-8.7614,0.9874,0.9874
11.5027,-8.8422,1.0135,1.0135
11.5836,-8.9231,1.0135,1.0135
11.6645,-9.0040,0.9874,0.9874
11.7454,-9.0040,0.9874,0.9874
11.8263,-9.0849,1.0135,1.0135
11.9072,-9.1658,1.0296,1.0296
11.9881,-9.2467,1.0135,1.0135
12.0690,-9.3276,0.9874,0.9874
12.1498,-9.3276,1.0135,1.0135
12.2307,-9.4085,1.0296,1.0296
12.3116,-9.4894,1.0135,1.0135
12.3925,-9.5703,0.9874,0.9874
12.4734,-9.5703,0.9874,0.9874
12.5543,-9.6511,1.0135,1.0135
12.6352,-9.7320,1.0135,1.0135
12.7161,-9.8129,0.9874,0.9874
12.7970,-9.8129,0.9874,0.9874
12.8779,-9.8938,1.0135,1.0135
12.9587,-9.9747,1.0135,1.0135
13.0396,-10.0556,0.9874,0.9874
13.1205,-10.0556,0.9874,0.9874
13.2014,-10.1365,1.0135,1.0135
13.2823,-10.2174,1.0296,1.0296
13.3632,-10.2983,1.0135,1.0135
13.4441,-10.3792,0.9874,0.9874
13.5250,-10.3792,1.0135,1.0135
13.6059,-10.4600,1.0296,1.0296
13.6868,-10.5409,1.0135,1.0135
13.7676,-10.6218,0.9874,0.9874
13.8485,-10.6218,1.0135,1.0135
13.9294,-10.7027,1.0296,1.0296
14.0103,-10.7836,1.0135,1.0135
14.0912,-10.8645,0.9874,0.9874
14.1721,-10.8645,0.9874,0.9874
14.2530,-10.9454,1.0135,1.0135
14.3339,-11.0263,1.0135,1.0135
14.4148,-11.1072,0.9874,0.9874
14.4957,-11.1072,0.9874,0.9874
14.5765,-11.1881,1.0135,1.0135
14.6574,-11.2689,1.0296,1.0296
14.7383,-11.3498,1.0135,1.0135
14.8192,-11.4307,0.9874,0.9874
14.9001,-11.4307,1.0135,1.0135
14.9810,-11.5116,1.0296,1.0296
15.0619,-11.5925,1.0135,1.0135
15.1428,-11.6734,0.9874,0.9874
15.2237,-11.6734,1.0135,1.0135
15.3046,-11.7543,1.0296,1.0296
15.3854,-11.8352,1.0135,1.0135
15.4663,-11.9161,0.9874,0.9874
15.5472,-11.9161,0.9874,0.9874
15.6281,-11.9970,1.0135,1.0135
15.7090,-12.0778,1.0135,1.0135
15.7899,-12.1587,0.9874,0.9874
15.8708,-12.1587,0.9874,0.9874
15.9517,-12.2396,1.0135,1.0135
16.0326,-12.3205,1.0135,1.0135
16.1135,-12.4014,0.9874,0.9874
16.1943,-12.4014,0.9874,0.9874
16.2752,-12.4823,1.0135,1.0135
16.3561,-12.5632,1.0296,1.0296
16.4370,-12.6441,1.0135,1.0135
16.5179,-12.7250,0.9874,0.9874
16.5988,-12.7250,1.0135,1.0135
16.6797,-12.8059,1.0296,1.0296
16.7606,-12.8867,1.0135,1.0135
16.8415,-12.9676,0.9874,0.9874
16.9224,-12.9676,0.9874,0.9874
17.0032,-13.0485,1.0135,1.0135
17.0841,-13.1294,1.0135,1.0135
17.1650,-13.2103,0.9874,0.9874
17.2459,-13.2103,0.9874,0.9874
17.3268,-13.2912,1.0135,1.0135
17.4077,-13.3721,1.0135,1.0135
17.4886,-13.4530,0.9874,0.9874
17.5695,-13.4530,0.9874,0.9874
17.6504,-13.5339,1.0135,1.0135
17.7313,-13.6148,1.0296,1.0296
17.8121,-13.6956,1.0135,1.0135
17.8930,-13.7765,0.9874,0.9874
17.9739,-13.7765,1.0135,1.0135
18.0548,-13.8574,1.0296,1.0296
18.1357,-13.9383,1.0135,1.0135
18.2166,-14.0192,0.9874,0.9874
18.2975,-14.0192,1.0135,1.0135
18.3784,-14.1001,1.0296,1.0296
18.4593,-14.1810,1.0135,1.0135
18.5402,-14.2619,0.9874,0.9874
18.6210,-14.2619,0.9874,0.9874
18.7019,-14.3428,1.0135,1.0135
18.7828,-14.4237,1.0135,1.0135
18.8637,-14.5045,0.9874,0.9874
18.9446,-14.5045,0.9874,0.9874
19.0255,-14.5854,1.0135,1.0135
19.1064,-14.6663,1.0296,1.0296
19.1873,-14.7472,1.0135,1.0135
19.2682,-14.8281,0.9874,0.9874
19.3491,-14.8281,1.0135,1.0135
19.4299,-14.9090,1.0296,1.0296
19.5108,-14.9899,1.0135,1.0135
19.5917,-15.0708,0.9874,0.9874
19.6726,-15.0708,1.0135,1.0135
19.7535,-15.1517,1.0296,1.0296
19.8344,-15.2326,1.0135,1.0135
19.9153,-15.3134,0.9874,0.9874
19.9962,-15.3134,0.9874,0.9874
20.0771,-15.3943,1.0135,1.0135
20.1580,-15.4752,1.0135,1.0135
20.2388,-15.5561,0.9874,0.9874
20.3197,-15.5561,0.9874,0.9874
20.4006,-15.6370,1.0135,1.0135
20.4815,-15.7179,1.0135,1.0135
20.5624,-15.7988,0.9874,0.9874
20.6433,-15.7988,0.9874,0.9874
20.7242,-15.8797,1.0135,1.0135
20.8051,-15.9606,1.0296,1.0296
20.8860,-16.0415,1.0135,1.0135
20.9669,-16.1223,0.9874,0.9874
21.0477,-16.1223,1.0135,1.0135
21.1286,-16.2032,1.0296,1.0296
21.2095,-16.2841,1.0135,1.0135
21.2904,-16.3650,0.9874,0.9874
21.3713,-16.3650,1.0135,1.0135
21.4522,-16.4459,1.0296,1.0296
21.5331,-16.5268,1.0135,1.0135
21.6140,-16.6077,0.9874,0.9874
21.6949,-16.6077,0.9874,0.9874
21.7758,-16.6886,1.0135,1.0135
21.8566,-16.7695,1.0135,1.0135
21.9375,-16.8504,0.9874,0.9874
22.0184,-16.8504,0.9874,0.9874
22.0993,-16.9312,1.0135,1.0135
22.1802,-17.0121,1.0296,1.0296
22.2611,-17.0930,1.0135,1.0135
22.3420,-17.1739,0.9874,0.9874
22.4229,-17.1739,1.0135,1.0135
22.5038,-17.2548,1.0296,1.0296
22.5847,-17.3357,1.0135,1.0135
22.6655,-17.4166,0.9874,0.9874
22.7464,-17.4166,1.0135,1.0135
22.8273,-17.4975,1.0296,1.0296
22.9082,-17.5784,1.0135,1.0135
22.9891,-17.6593,0.9874,0.9874
23.0700,-17.6593,0.9874,0.9874
23.1509,-17.7401,1.0135,1.0135
23.2318,-17.8210,1.0135,1.0135
23.3127,-17.9019,0.9874,0.9874
23.3936,-17.9019,0.9874,0.9874
23.4744,-17.9828,1.0135,1.0135
23.5553,-18.0637,1.0296,1.0296
23.6362,-18.1446,1.0135,1.0135
23.7171,-18.2255,0.9874,0.9874
23.7980,-18.2255,1.0135,1.0135
23.8789,-18.3064,1.0296,1.0296
23.9598,-18.3873,1.0135,1.0135
24.0407,-18.4682,0.9874,0.9874
24.1216,-18.4682,1.0135,1.0135
24.2025,-18.5490,1.0296,1.0296
24.2833,-18.6299,1.0135,1.0135
24.3642,-18.7108,0.9874,0.9874
24.4451,-18.7108,0.9874,0.9874
24.5260,-18.7917,1.0135,1.0135
24.6069,-18.8726,1.0135,1.0135
24.6878,-18.9535,0.9874,0.9874
24.7687,-18.9535,0.9874,0.9874
24.8496,-19.0344,1.0135,1.0135
24.9305,-19.1153,1.0135,1.0135
25.0114,-19.1962,0.9874,0.9874
25.0922,-19.1962,0.9874,0.9874
25.1731,-19.2771,1.0135,1.0135
25.2540,-19.3579,1.0296,1.0296
25.3349,-19.4388,1.0135,1.0135
25.4158,-19.5197,0.9874,0.9874
25.4967,-19.5197,1.0135,1.0135
25.5776,-19.6006,1.0296,1.0296
25.6585,-19.6815,1.0135,1.0135
25.7394,-19.7624,0.9874,0.9874
25.8203,-19.7624,1.0135,1.0135
25.9011,-19.8433,1.0296,1.0296
25.9820,-19.9242,1.0135,1.0135
26.0629,-20.0051,0.9874,0.9874
26.1438,-20.0051,0.9874,0.9874
26.2247,-20.0860,1.0135,1.0135
26.3056,-20.1668,1.0135,1.0135
26.3865,-20.2477,0.9874,0.9874
26.4674,-20.2477,0.9874,0.9874
26.5483,-20.3286,1.0135,1.0135
26.6292,-20.4095,1.0296,1.0296
26.7100,-20.4904,1.0135,1.0135
26.7909,-20.5713,0.9874,0.9874
26.8718,-20.5713,1.0135,1.0135
26.9527,-20.6522,1.0296,1.0296
27.0336,-20.7331,1.0135,1.0135
27.1145,-20.8140,0.9874,0.9874
27.1954,-20.8140,1.0135,1.0135
27.2763,-20.8949,1.0296,1.0296
27.3572,-20.9757,1.0135,1.0135
